min_max_neurons = [i for i in range(100, 550, 100)]
max_hidden_layers = 4

model = sklearn.neural_network.MLPClassifier(hidden_layer_sizes=permut, activation='relu', alpha=0.0001, batch_size='auto', learning_rate_init=0.001, max_iter=200)

Xtrain[:5000, :], ytrain[:5000]
Xval[:2500, :], yval[:2500]

total time = 19517s = 325 min = 5.5 h

Hidden layer sizes: (200, 300, 400), validation accuracy: 0.9496, accumulated time 1210.888287782669
Hidden layer sizes: (200, 300, 500), validation accuracy: 0.9356, accumulated time 1228.2204740047455
Hidden layer sizes: (200, 400, 100), validation accuracy: 0.9432, accumulated time 1243.9707701206207
Hidden layer sizes: (200, 400, 200), validation accuracy: 0.9512, accumulated time 1260.272405385971
Hidden layer sizes: (200, 400, 300), validation accuracy: 0.95, accumulated time 1276.5411140918732
Hidden layer sizes: (200, 400, 400), validation accuracy: 0.9484, accumulated time 1297.2287957668304
Hidden layer sizes: (200, 400, 500), validation accuracy: 0.9488, accumulated time 1319.7326278686523
Hidden layer sizes: (200, 500, 100), validation accuracy: 0.9516, accumulated time 1335.2639989852905
Hidden layer sizes: (200, 500, 200), validation accuracy: 0.948, accumulated time 1351.0471768379211
Hidden layer sizes: (200, 500, 300), validation accuracy: 0.9456, accumulated time 1370.5570344924927
Hidden layer sizes: (200, 500, 400), validation accuracy: 0.9468, accumulated time 1390.7489185333252
Hidden layer sizes: (200, 500, 500), validation accuracy: 0.9512, accumulated time 1418.2816331386566
Hidden layer sizes: (300, 100, 100), validation accuracy: 0.9488, accumulated time 1437.3208184242249
Hidden layer sizes: (300, 100, 200), validation accuracy: 0.9468, accumulated time 1456.584932088852
Hidden layer sizes: (300, 100, 300), validation accuracy: 0.9484, accumulated time 1474.1261234283447
Hidden layer sizes: (300, 100, 400), validation accuracy: 0.9484, accumulated time 1492.230792760849
Hidden layer sizes: (300, 100, 500), validation accuracy: 0.9488, accumulated time 1514.4329302310944
Hidden layer sizes: (300, 200, 100), validation accuracy: 0.9512, accumulated time 1533.1958010196686
Hidden layer sizes: (300, 200, 200), validation accuracy: 0.9444, accumulated time 1552.420897245407
Hidden layer sizes: (300, 200, 300), validation accuracy: 0.9472, accumulated time 1570.630218744278
Hidden layer sizes: (300, 200, 400), validation accuracy: 0.9492, accumulated time 1588.956734418869
Hidden layer sizes: (300, 200, 500), validation accuracy: 0.9496, accumulated time 1606.8508806228638
Hidden layer sizes: (300, 300, 100), validation accuracy: 0.9472, accumulated time 1625.7685208320618
Hidden layer sizes: (300, 300, 200), validation accuracy: 0.9496, accumulated time 1644.4410948753357
Hidden layer sizes: (300, 300, 300), validation accuracy: 0.9516, accumulated time 1662.6281361579895
Hidden layer sizes: (300, 300, 400), validation accuracy: 0.9508, accumulated time 1679.9937353134155
